Indicator 59 Monthly electricity usage at Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Sep-87,-54.61988889,158.861,Macquarie Island,Station electricity usage,45428,,kWh,,
Oct-87,-67.60269444,62.87380556,Mawson,Station electricity usage,152180,,kWh,,
Oct-87,-68.57661111,77.96738889,Davis,Station electricity usage,119172,,kWh,,
Oct-87,-66.28180556,110.5276111,Casey,Station electricity usage,175537,,kWh,,
Oct-87,-54.61988889,158.861,Macquarie Island,Station electricity usage,46764,,kWh,,
Nov-87,-67.60269444,62.87380556,Mawson,Station electricity usage,133476,,kWh,,
Nov-87,-68.57661111,77.96738889,Davis,Station electricity usage,107580,,kWh,,
Nov-87,-66.28180556,110.5276111,Casey,Station electricity usage,144610,,kWh,,
Nov-87,-54.61988889,158.861,Macquarie Island,Station electricity usage,44383,,kWh,,
Dec-87,-67.60269444,62.87380556,Mawson,Station electricity usage,112042,,kWh,,
Dec-87,-68.57661111,77.96738889,Davis,Station electricity usage,106924,,kWh,,
Dec-87,-66.28180556,110.5276111,Casey,Station electricity usage,137540,,kWh,,
Dec-87,-54.61988889,158.861,Macquarie Island,Station electricity usage,44280,,kWh,,
Jan-88,-67.60269444,62.87380556,Mawson,Station electricity usage,127806,,kWh,,
Jan-88,-68.57661111,77.96738889,Davis,Station electricity usage,105960,,kWh,,
Jan-88,-66.28180556,110.5276111,Casey,Station electricity usage,95333,,kWh,,
Jan-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,44588,,kWh,,
Feb-88,-67.60269444,62.87380556,Mawson,Station electricity usage,135464,,kWh,,
Feb-88,-68.57661111,77.96738889,Davis,Station electricity usage,66120,,kWh,,
Feb-88,-66.28180556,110.5276111,Casey,Station electricity usage,136666,,kWh,,
Feb-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,42240,,kWh,,
Mar-88,-67.60269444,62.87380556,Mawson,Station electricity usage,156758,,kWh,,
Mar-88,-68.57661111,77.96738889,Davis,Station electricity usage,22920,,kWh,,
Mar-88,-66.28180556,110.5276111,Casey,Station electricity usage,161660,,kWh,,
Mar-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,50178,,kWh,,
Apr-88,-67.60269444,62.87380556,Mawson,Station electricity usage,157332,,kWh,,
Apr-88,-68.57661111,77.96738889,Davis,Station electricity usage,18050,,kWh,,
Apr-88,-66.28180556,110.5276111,Casey,Station electricity usage,149992,,kWh,,
Apr-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,49899,,kWh,,
May-88,-67.60269444,62.87380556,Mawson,Station electricity usage,156170,,kWh,,
May-88,-68.57661111,77.96738889,Davis,Station electricity usage,116956,,kWh,,
May-88,-66.28180556,110.5276111,Casey,Station electricity usage,163136,,kWh,,
May-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,53003,,kWh,,
Jun-88,-67.60269444,62.87380556,Mawson,Station electricity usage,161112,,kWh,,
Jun-88,-68.57661111,77.96738889,Davis,Station electricity usage,123360,,kWh,,
Jun-88,-66.28180556,110.5276111,Casey,Station electricity usage,156012,,kWh,,
Jun-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,55528,,kWh,,
Jul-88,-67.60269444,62.87380556,Mawson,Station electricity usage,168574,,kWh,,
Jul-88,-68.57661111,77.96738889,Davis,Station electricity usage,137760,,kWh,,
Jul-88,-66.28180556,110.5276111,Casey,Station electricity usage,169270,,kWh,,
Jul-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,52846,,kWh,,
Aug-88,-67.60269444,62.87380556,Mawson,Station electricity usage,162932,,kWh,,
Aug-88,-68.57661111,77.96738889,Davis,Station electricity usage,138240,,kWh,,
Aug-88,-66.28180556,110.5276111,Casey,Station electricity usage,172756,,kWh,,
Aug-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,54003,,kWh,,
Sep-88,-67.60269444,62.87380556,Mawson,Station electricity usage,157766,,kWh,,
Sep-88,-68.57661111,77.96738889,Davis,Station electricity usage,128040,,kWh,,
Sep-88,-66.28180556,110.5276111,Casey,Station electricity usage,161908,,kWh,,
Sep-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,52533,,kWh,,
Oct-88,-67.60269444,62.87380556,Mawson,Station electricity usage,154014,,kWh,,
Oct-88,-68.57661111,77.96738889,Davis,Station electricity usage,125180,,kWh,,
Oct-88,-66.28180556,110.5276111,Casey,Station electricity usage,162206,,kWh,,
Oct-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,48714,,kWh,,
Nov-88,-67.60269444,62.87380556,Mawson,Station electricity usage,138446,,kWh,,
Nov-88,-68.57661111,77.96738889,Davis,Station electricity usage,48460,,kWh,,
Nov-88,-66.28180556,110.5276111,Casey,Station electricity usage,163268,,kWh,,
Nov-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,51034,,kWh,,
Dec-88,-67.60269444,62.87380556,Mawson,Station electricity usage,121030,,kWh,,
Dec-88,-68.57661111,77.96738889,Davis,Station electricity usage,,,kWh,,
Dec-88,-66.28180556,110.5276111,Casey,Station electricity usage,148060,,kWh,,
Dec-88,-54.61988889,158.861,Macquarie Island,Station electricity usage,45413,,kWh,,
Jan-89,-67.60269444,62.87380556,Mawson,Station electricity usage,124600,,kWh,,
Jan-89,-68.57661111,77.96738889,Davis,Station electricity usage,90900,,kWh,,
Jan-89,-66.28180556,110.5276111,Casey,Station electricity usage,143638,,kWh,,
Jan-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,41638,,kWh,,
Feb-89,-67.60269444,62.87380556,Mawson,Station electricity usage,126434,,kWh,,
Feb-89,-68.57661111,77.96738889,Davis,Station electricity usage,89856,,kWh,,
Feb-89,-66.28180556,110.5276111,Casey,Station electricity usage,153915,,kWh,,
Feb-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,42056,,kWh,,
Mar-89,-67.60269444,62.87380556,Mawson,Station electricity usage,142380,,kWh,,
Mar-89,-68.57661111,77.96738889,Davis,Station electricity usage,121200,,kWh,,
Mar-89,-66.28180556,110.5276111,Casey,Station electricity usage,142832,,kWh,,
Mar-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,51474,,kWh,,
Apr-89,-67.60269444,62.87380556,Mawson,Station electricity usage,143206,,kWh,,
Apr-89,-68.57661111,77.96738889,Davis,Station electricity usage,127476,,kWh,,
Apr-89,-66.28180556,110.5276111,Casey,Station electricity usage,132312,,kWh,,
Apr-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,48553,,kWh,,
May-89,-67.60269444,62.87380556,Mawson,Station electricity usage,161770,,kWh,,
May-89,-68.57661111,77.96738889,Davis,Station electricity usage,146580,,kWh,,
May-89,-66.28180556,110.5276111,Casey,Station electricity usage,167520,,kWh,,
May-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,52314,,kWh,,
Jun-89,-67.60269444,62.87380556,Mawson,Station electricity usage,104020,,kWh,,
Jun-89,-68.57661111,77.96738889,Davis,Station electricity usage,134280,,kWh,,
Jun-89,-66.28180556,110.5276111,Casey,Station electricity usage,167004,,kWh,,
Jun-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,52300,,kWh,,
Jul-89,-67.60269444,62.87380556,Mawson,Station electricity usage,181580,,kWh,,
Jul-89,-68.57661111,77.96738889,Davis,Station electricity usage,140016,,kWh,,
Jul-89,-66.28180556,110.5276111,Casey,Station electricity usage,169968,,kWh,,
Jul-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,52655,,kWh,,
Aug-89,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Aug-89,-68.57661111,77.96738889,Davis,Station electricity usage,135744,,kWh,,
Aug-89,-66.28180556,110.5276111,Casey,Station electricity usage,163476,,kWh,,
Aug-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,50442,,kWh,,
Sep-89,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Sep-89,-68.57661111,77.96738889,Davis,Station electricity usage,125388,,kWh,,
Sep-89,-66.28180556,110.5276111,Casey,Station electricity usage,149760,,kWh,,
Sep-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,46584,,kWh,,
Oct-89,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Oct-89,-68.57661111,77.96738889,Davis,Station electricity usage,120600,,kWh,,
Oct-89,-66.28180556,110.5276111,Casey,Station electricity usage,161232,,kWh,,
Oct-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,46548,,kWh,,
Nov-89,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Nov-89,-68.57661111,77.96738889,Davis,Station electricity usage,110028,,kWh,,
Nov-89,-66.28180556,110.5276111,Casey,Station electricity usage,152820,,kWh,,
Nov-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,47581,,kWh,,
Dec-89,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Dec-89,-68.57661111,77.96738889,Davis,Station electricity usage,112128,,kWh,,
Dec-89,-66.28180556,110.5276111,Casey,Station electricity usage,146214,,kWh,,
Dec-89,-54.61988889,158.861,Macquarie Island,Station electricity usage,46305,,kWh,,
Jan-90,-67.60269444,62.87380556,Mawson,Station electricity usage,181580,,kWh,,
Jan-90,-68.57661111,77.96738889,Davis,Station electricity usage,113088,,kWh,,
Jan-90,-66.28180556,110.5276111,Casey,Station electricity usage,129300,,kWh,,
Jan-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,41248,,kWh,,
Feb-90,-67.60269444,62.87380556,Mawson,Station electricity usage,186899,,kWh,,
Feb-90,-68.57661111,77.96738889,Davis,Station electricity usage,116868,,kWh,,
Feb-90,-66.28180556,110.5276111,Casey,Station electricity usage,137472,,kWh,,
Feb-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,36631,,kWh,,
Mar-90,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Mar-90,-68.57661111,77.96738889,Davis,Station electricity usage,133632,,kWh,,
Mar-90,-66.28180556,110.5276111,Casey,Station electricity usage,149808,,kWh,,
Mar-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,44538,,kWh,,
Apr-90,-67.60269444,62.87380556,Mawson,Station electricity usage,,,kWh,,
Apr-90,-68.57661111,77.96738889,Davis,Station electricity usage,128160,,kWh,,
Apr-90,-66.28180556,110.5276111,Casey,Station electricity usage,152784,,kWh,,
Apr-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,44669,,kWh,,
May-90,-67.60269444,62.87380556,Mawson,Station electricity usage,166082,,kWh,,
May-90,-68.57661111,77.96738889,Davis,Station electricity usage,150204,,kWh,,
May-90,-66.28180556,110.5276111,Casey,Station electricity usage,171804,,kWh,,
May-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,53736,,kWh,,
Jun-90,-67.60269444,62.87380556,Mawson,Station electricity usage,175014,,kWh,,
Jun-90,-68.57661111,77.96738889,Davis,Station electricity usage,146256,,kWh,,
Jun-90,-66.28180556,110.5276111,Casey,Station electricity usage,179856,,kWh,,
Jun-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,50626,,kWh,,
Jul-90,-67.60269444,62.87380556,Mawson,Station electricity usage,178906,,kWh,,
Jul-90,-68.57661111,77.96738889,Davis,Station electricity usage,159468,,kWh,,
Jul-90,-66.28180556,110.5276111,Casey,Station electricity usage,171120,,kWh,,
Jul-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,50312,,kWh,,
Aug-90,-67.60269444,62.87380556,Mawson,Station electricity usage,181720,,kWh,,
Aug-90,-68.57661111,77.96738889,Davis,Station electricity usage,150048,,kWh,,
Aug-90,-66.28180556,110.5276111,Casey,Station electricity usage,181680,,kWh,,
Aug-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,52301,,kWh,,
Sep-90,-67.60269444,62.87380556,Mawson,Station electricity usage,150010,,kWh,,
Sep-90,-68.57661111,77.96738889,Davis,Station electricity usage,144108,,kWh,,
Sep-90,-66.28180556,110.5276111,Casey,Station electricity usage,178332,,kWh,,
Sep-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,51416,,kWh,,
Oct-90,-67.60269444,62.87380556,Mawson,Station electricity usage,161238,,kWh,,
Oct-90,-68.57661111,77.96738889,Davis,Station electricity usage,139560,,kWh,,
Oct-90,-66.28180556,110.5276111,Casey,Station electricity usage,183408,,kWh,,
Oct-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,50114,,kWh,,
Nov-90,-67.60269444,62.87380556,Mawson,Station electricity usage,131782,,kWh,,
Nov-90,-68.57661111,77.96738889,Davis,Station electricity usage,127488,,kWh,,
Nov-90,-66.28180556,110.5276111,Casey,Station electricity usage,161052,,kWh,,
Nov-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,47325,,kWh,,
Dec-90,-67.60269444,62.87380556,Mawson,Station electricity usage,128192,,kWh,,
Dec-90,-68.57661111,77.96738889,Davis,Station electricity usage,120156,,kWh,,
Dec-90,-66.28180556,110.5276111,Casey,Station electricity usage,149135,,kWh,,
Dec-90,-54.61988889,158.861,Macquarie Island,Station electricity usage,46173,,kWh,,
Jan-91,-67.60269444,62.87380556,Mawson,Station electricity usage,117964,,kWh,,
Jan-91,-68.57661111,77.96738889,Davis,Station electricity usage,110172,,kWh,,
Jan-91,-66.28180556,110.5276111,Casey,Station electricity usage,148392,,kWh,,
Jan-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,47809,,kWh,,
Feb-91,-67.60269444,62.87380556,Mawson,Station electricity usage,131684,,kWh,,
Feb-91,-68.57661111,77.96738889,Davis,Station electricity usage,118440,,kWh,,
Feb-91,-66.28180556,110.5276111,Casey,Station electricity usage,117396,,kWh,,
Feb-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,44671,,kWh,,
Mar-91,-67.60269444,62.87380556,Mawson,Station electricity usage,152712,,kWh,,
Mar-91,-68.57661111,77.96738889,Davis,Station electricity usage,148800,,kWh,,
Mar-91,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Mar-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,46266,,kWh,,
Apr-91,-67.60269444,62.87380556,Mawson,Station electricity usage,161686,,kWh,,
