date,electricity_kwh,fuel_litres,ALLSKY_SFC_SW_DWN,WS50M,WD50M,PS,T2M,RH2M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,year,month,quarter
2001-12-01,136778.0,40945.0,7.528796774193548,10.190645161290323,123.5741935483871,94.96967741935484,-3.81,79.61258064516129,-2.113548387096774,-6.0361290322580645,12.340645161290322,4.674193548387097,2001,12,4
2002-01-01,130650.0,37370.0,7.0305709677419355,7.52741935483871,135.44516129032257,95.52032258064517,-2.8270967741935484,70.96612903225805,-0.6683870967741935,-5.146451612903226,9.299032258064516,2.9729032258064514,2002,1,1
2002-02-01,133675.0,37502.0,4.828107142857143,9.198571428571428,137.8892857142857,95.16714285714285,-7.401071428571428,67.1625,-5.3625,-9.61892857142857,11.117857142857144,4.560714285714286,2002,2,1
2002-03-01,162329.0,47340.0,2.8848387096774197,11.058064516129033,139.10000000000002,96.26645161290323,-11.755806451612903,70.98032258064515,-9.746774193548386,-13.97709677419355,12.060967741935483,6.470967741935484,2002,3,1
2002-04-01,160303.0,50658.0,0.9940300000000001,9.382333333333333,145.93666666666667,95.72133333333333,-15.981666666666666,70.7,-14.007666666666667,-18.242666666666665,10.071,4.913,2002,4,2
2002-05-01,174011.0,54016.0,0.11546451612903226,11.471935483870968,134.57419354838711,96.5983870967742,-14.711612903225806,73.04612903225807,-12.796451612903226,-16.78258064516129,12.31967741935484,6.128709677419355,2002,5,2
2002-06-01,178971.0,56689.0,0.00033666666666666665,11.126666666666667,140.38,95.79933333333334,-17.540666666666667,75.07199999999999,-15.423666666666666,-19.802,11.979333333333333,6.016,2002,6,2
2002-07-01,184323.0,56077.0,0.03397096774193548,11.272258064516128,137.08064516129033,96.04935483870969,-19.11032258064516,74.01064516129033,-17.345483870967744,-20.85451612903226,12.23,6.228709677419355,2002,7,3
2002-08-01,183261.0,55538.0,0.5932774193548387,9.273225806451611,137.79032258064515,95.15387096774194,-22.498709677419356,79.55774193548388,-20.58709677419355,-24.432258064516127,10.425483870967742,4.458064516129032,2002,8,3
2002-09-01,166869.0,50089.0,2.2868133333333334,12.729999999999999,132.84,95.537,-17.954666666666665,72.56933333333333,-15.960333333333333,-20.317999999999998,13.408666666666667,7.776,2002,9,3
2002-10-01,173473.0,52785.0,4.736287096774194,11.399677419354838,134.5225806451613,96.26,-14.692580645161291,69.98709677419355,-11.99,-17.491612903225807,12.565806451612904,6.347096774193548,2002,10,4
2002-11-01,150241.0,45700.0,7.629410000000001,8.560333333333334,129.69333333333333,95.62166666666667,-9.602333333333332,68.42266666666666,-6.681333333333333,-13.073333333333332,9.816666666666666,4.363666666666666,2002,11,4
2002-12-01,138513.0,40148.0,8.896209677419353,8.445483870967742,139.07419354838711,95.21225806451612,-4.782258064516129,69.6183870967742,-2.4503225806451616,-8.112258064516128,10.076451612903226,3.9725806451612904,2002,12,4
2003-01-01,127837.0,35652.0,6.748058064516129,9.180645161290323,127.36774193548388,96.27161290322582,-2.8609677419354838,75.7509677419355,-1.1112903225806452,-5.145161290322581,10.533548387096776,4.493225806451613,2003,1,1
2003-02-01,105360.0,29850.0,4.641857142857143,8.875,132.7107142857143,95.99321428571429,-4.529642857142857,71.7925,-2.7510714285714286,-6.611785714285714,9.957857142857142,4.752142857142857,2003,2,1
2003-03-01,100059.0,27240.0,2.2009032258064516,10.283548387096776,132.44516129032257,95.81838709677419,-10.607096774193549,77.13677419354838,-9.099032258064517,-12.320645161290322,11.793870967741936,5.846451612903226,2003,3,1
2003-04-01,118044.0,35784.0,1.05956,10.607666666666667,143.06666666666666,95.53233333333334,-18.40666666666667,77.39366666666666,-16.816,-20.522666666666666,11.521666666666667,6.091333333333334,2003,4,2
2003-05-01,123355.0,35848.0,0.12956451612903225,11.056774193548387,137.54516129032257,96.00193548387097,-20.6,78.16387096774193,-18.278709677419354,-23.331935483870968,11.956129032258064,5.904193548387097,2003,5,2
2003-06-01,120361.0,37692.0,0.0004533333333333333,12.935666666666666,133.16333333333333,96.60033333333334,-19.209333333333333,77.386,-17.34733333333333,-21.324333333333335,14.018333333333334,7.314333333333334,2003,6,2
2003-07-01,133075.0,42260.0,0.032780645161290325,11.370967741935484,136.94516129032257,95.71032258064515,-21.431612903225805,77.17645161290322,-19.301612903225806,-23.93548387096774,12.753225806451614,5.79516129032258,2003,7,3
2003-08-01,147763.0,45466.0,0.49208709677419354,12.229032258064517,138.3,95.03193548387097,-22.013548387096773,75.62032258064517,-20.07193548387097,-24.181612903225805,13.506129032258064,6.477741935483871,2003,8,3
2003-09-01,116381.0,40183.0,2.197413333333333,12.805,134.67666666666668,95.14833333333333,-19.23033333333333,75.867,-17.185,-21.878666666666668,14.479333333333333,7.349666666666667,2003,9,3
2003-10-01,96235.0,30214.0,5.093548387096774,10.621290322580645,137.25806451612902,95.47387096774193,-17.080645161290324,70.44322580645161,-14.329354838709676,-20.307419354838707,11.785161290322582,5.848064516129032,2003,10,4
2003-11-01,94190.0,29937.0,7.882716666666667,9.246333333333332,134.28333333333333,95.67766666666667,-10.198333333333332,66.59366666666666,-7.059,-14.052666666666665,11.123333333333333,4.382666666666666,2003,11,4
2003-12-01,93820.0,28098.0,9.033816129032257,11.663225806451614,129.11935483870968,96.25225806451614,-3.4099999999999997,68.78645161290324,-0.9606451612903225,-6.606774193548387,12.466451612903224,6.309354838709678,2003,12,4
2004-01-01,91029.0,26813.0,6.936990322580645,7.746774193548387,122.00322580645161,95.6774193548387,-2.420967741935484,79.28870967741935,-0.873225806451613,-4.515806451612904,9.380322580645162,3.3954838709677415,2004,1,1
2004-02-01,102220.0,30456.0,4.569255172413793,9.83344827586207,133.18620689655174,96.34241379310345,-5.467586206896552,71.06965517241379,-3.86551724137931,-7.465862068965517,11.099310344827586,5.103793103448275,2004,2,1
2004-03-01,113472.0,34493.0,2.132441935483871,11.091935483870966,138.13870967741937,95.31,-11.752903225806453,74.48096774193547,-10.179677419354839,-13.813870967741936,12.940645161290323,6.1332258064516125,2004,3,1
2004-04-01,115758.0,39088.0,1.0020766666666667,10.879333333333333,145.72333333333333,95.54266666666666,-18.34,76.02133333333333,-16.852999999999998,-20.322333333333333,11.763,6.4270000000000005,2004,4,2
2004-05-01,122069.0,36841.0,0.11767096774193549,11.37516129032258,135.8967741935484,95.79161290322581,-18.404838709677417,74.93064516129031,-16.294838709677418,-20.53451612903226,12.676774193548388,6.073225806451613,2004,5,2
2004-06-01,153091.0,48628.0,0.0003266666666666667,10.862666666666666,143.91666666666666,95.31866666666666,-21.784333333333333,74.88433333333334,-19.724333333333334,-23.855999999999998,12.010666666666667,5.731333333333334,2004,6,2
2004-07-01,142933.0,45693.0,0.03756129032258065,10.500967741935483,132.57419354838711,94.96322580645162,-21.963548387096775,80.07677419354839,-20.218387096774194,-23.910645161290322,12.543870967741936,4.71741935483871,2004,7,3
2004-08-01,105667.0,34251.0,0.5485290322580645,12.077419354838709,140.13548387096773,94.79806451612903,-19.60451612903226,76.29870967741937,-17.69645161290323,-22.049032258064514,14.192258064516128,5.769354838709678,2004,8,3
2004-09-01,97196.0,34683.0,2.384736666666667,10.227333333333332,138.16666666666666,94.94566666666667,-22.177333333333333,76.78299999999999,-20.011333333333333,-24.58566666666667,11.438666666666666,5.3966666666666665,2004,9,3
2004-10-01,83344.0,32596.0,4.836358064516129,10.682258064516128,137.51612903225808,95.47935483870968,-14.856451612903227,68.80967741935484,-11.999032258064517,-18.156451612903226,12.321290322580644,5.611290322580646,2004,10,4
2004-11-01,95471.0,28652.0,7.379613333333333,13.711666666666668,128.73999999999998,95.31733333333334,-7.727666666666667,70.89699999999999,-5.511666666666667,-10.496666666666666,15.422666666666666,8.235666666666667,2004,11,4
2004-12-01,80256.0,25344.0,8.85033548387097,10.718709677419357,123.07741935483871,95.91225806451614,-2.9503225806451616,73.5716129032258,-1.0083870967741937,-5.839677419354839,11.29225806451613,5.740967741935484,2004,12,4
2005-01-01,99268.0,30882.0,7.493164516129033,8.143225806451612,124.48709677419355,95.88064516129033,-3.0509677419354837,74.61193548387098,-1.0596774193548388,-6.128709677419355,9.313225806451612,3.7532258064516126,2005,1,1
2005-02-01,92643.0,28616.0,5.885225,10.165714285714285,138.07857142857142,95.51821428571428,-7.646428571428571,65.79071428571429,-4.861428571428571,-10.95142857142857,11.879285714285714,4.7825,2005,2,1
2005-03-01,97165.0,30238.0,2.8049,10.94774193548387,137.3516129032258,95.63967741935484,-10.702903225806452,71.78193548387097,-8.846774193548388,-13.119354838709677,12.791935483870969,5.718387096774193,2005,3,1
2005-04-01,106833.0,38349.0,0.97715,9.972000000000001,141.75,95.37433333333334,-18.32266666666667,76.91633333333333,-16.611,-20.45266666666667,11.085333333333333,5.423666666666667,2005,4,2
2005-05-01,122499.0,51229.0,0.1331709677419355,11.048064516129033,139.63548387096773,95.92677419354838,-20.393225806451614,78.4416129032258,-18.46483870967742,-22.36032258064516,12.031290322580643,6.074193548387097,2005,5,2
2005-06-01,87737.0,33661.0,0.00031666666666666665,11.479999999999999,140.42333333333332,96.374,-17.220000000000002,70.54899999999999,-15.232333333333335,-19.376666666666665,12.066,6.433666666666666,2005,6,2
2005-07-01,138371.0,50726.0,0.03632903225806451,10.855483870967742,141.0935483870968,95.74,-20.003870967741936,75.36548387096774,-18.301290322580645,-21.905806451612904,12.024838709677418,5.518387096774194,2005,7,3
2005-08-01,117023.0,44143.0,0.5705064516129033,11.423225806451613,143.2516129032258,95.24064516129032,-21.054193548387094,72.03451612903227,-19.039032258064516,-23.29064516129032,12.886774193548387,6.317741935483871,2005,8,3
2005-09-01,104306.0,38300.0,2.157526666666667,11.372666666666667,131.05333333333334,94.977,-18.892999999999997,74.963,-16.803,-21.259,12.697,6.501,2005,9,3
2005-10-01,88546.0,35050.0,4.8646806451612905,10.691935483870967,135.82258064516128,95.20322580645161,-16.00774193548387,71.58129032258064,-13.39225806451613,-19.043548387096774,11.915806451612903,6.088709677419355,2005,10,4
2005-11-01,71837.0,24680.0,7.859553333333333,10.498,130.82666666666668,95.41133333333333,-10.174666666666667,69.27433333333333,-7.479666666666666,-13.506,11.730666666666668,5.7330000000000005,2005,11,4
2005-12-01,85529.0,28472.0,8.74999677419355,10.251290322580646,125.14193548387097,96.62225806451613,-2.633870967741936,73.32290322580644,-0.7254838709677419,-5.336451612903226,11.33774193548387,5.368064516129032,2005,12,4
2006-01-01,101991.0,34356.0,8.087032258064516,9.900645161290322,129.29354838709676,95.69999999999999,-3.3696774193548387,69.35032258064517,-1.1061290322580646,-6.616129032258065,11.668387096774195,5.10516129032258,2006,1,1
2006-02-01,70427.0,24641.0,4.934246428571428,8.780357142857143,133.8642857142857,95.87964285714285,-7.675,67.87607142857142,-5.177142857142857,-10.3575,10.459285714285715,5.023928571428571,2006,2,1
2006-03-01,76183.0,30904.0,2.3372774193548387,11.376451612903226,138.19354838709677,95.55290322580645,-12.758709677419354,74.88322580645162,-10.829032258064515,-15.011935483870968,12.646129032258063,7.089032258064516,2006,3,1
2006-04-01,55901.0,21235.0,0.9445733333333333,11.124333333333334,143.99666666666664,95.79233333333333,-16.535333333333334,69.70766666666667,-14.772,-18.62366666666667,11.835333333333333,6.149333333333333,2006,4,2
2006-05-01,117814.0,45658.0,0.13734516129032256,9.372903225806452,137.38709677419354,95.52387096774193,-21.269354838709678,71.71129032258065,-19.205483870967743,-23.279032258064515,10.454193548387096,4.058709677419355,2006,5,2
2006-06-01,83806.0,31052.0,0.00036,12.499666666666666,139.07999999999998,95.40966666666667,-20.28166666666667,69.56766666666667,-18.112666666666666,-22.659,12.881,7.069,2006,6,2
2006-07-01,109923.0,43473.0,0.03805806451612903,11.088387096774193,139.68709677419355,94.70612903225806,-24.88806451612903,77.9558064516129,-23.40774193548387,-26.531612903225806,12.126774193548387,5.6093548387096765,2006,7,3
2006-08-01,101347.0,40448.0,0.5838645161290323,9.692580645161291,138.53870967741935,96.71483870967741,-19.807096774193546,70.61483870967741,-17.721612903225807,-21.94709677419355,10.764516129032257,4.821612903225806,2006,8,3
2006-09-01,94645.0,36661.0,2.1212566666666666,13.104666666666667,135.92333333333332,95.43833333333333,-19.305666666666664,74.07166666666667,-17.651,-21.336000000000002,14.322000000000001,7.72,2006,9,3
2006-10-01,82632.0,30967.0,4.804435483870968,8.789032258064516,134.46129032258065,94.95806451612903,-16.806451612903224,73.47806451612904,-14.078709677419354,-19.83709677419355,11.27290322580645,3.6887096774193546,2006,10,4
2006-11-01,66516.0,23496.0,7.50928,11.953666666666667,130.93333333333334,95.049,-8.934333333333333,69.72800000000001,-6.372,-12.304666666666666,14.054333333333334,6.869333333333333,2006,11,4
2006-12-01,76816.0,24284.0,9.293025806451613,7.293870967741935,136.10000000000002,95.66387096774193,-5.859354838709678,68.81064516129032,-3.284838709677419,-9.326451612903226,8.708709677419355,2.879032258064516,2006,12,4
2007-01-01,94312.0,32332.0,7.590338709677419,11.894838709677419,125.00322580645161,95.80741935483871,-3.9761290322580645,70.03677419354838,-1.7103225806451612,-6.980645161290322,13.476129032258065,6.401935483870968,2007,1,1
2007-02-01,71851.0,24330.0,5.541200000000001,9.4175,136.7607142857143,95.59678571428572,-8.592142857142857,67.15571428571428,-5.4628571428571435,-11.848928571428571,11.358571428571429,4.075714285714286,2007,2,1
2007-03-01,78271.0,29201.0,2.940909677419355,9.892258064516128,141.18064516129033,96.09548387096774,-14.691612903225806,69.71387096774194,-12.209354838709677,-17.394193548387097,11.254193548387097,4.944838709677419,2007,3,1
2007-04-01,90571.0,35533.0,1.0451066666666666,11.269,127.14,96.01466666666667,-15.404333333333334,69.937,-13.474333333333334,-17.749333333333333,11.886333333333335,6.227333333333333,2007,4,2
2007-05-01,80305.0,29720.0,0.11555806451612903,14.550645161290323,138.18387096774194,95.59870967741935,-14.406774193548388,67.09806451612903,-12.547419354838711,-16.357096774193547,15.728709677419356,8.73258064516129,2007,5,2
2007-06-01,75449.0,30077.0,0.0004066666666666666,11.315,139.97,96.57566666666666,-18.837333333333333,69.11333333333333,-16.920666666666666,-20.831333333333337,12.014333333333333,5.915,2007,6,2
2007-07-01,62826.0,29449.0,0.03457741935483871,13.612903225806452,136.27096774193546,96.75225806451614,-18.399354838709677,69.87741935483871,-16.46451612903226,-20.381290322580647,13.671612903225807,8.494516129032258,2007,7,3
2007-08-01,,36777.0,0.5719354838709677,11.620967741935484,137.49032258064514,95.59677419354838,-19.732903225806453,69.97741935483872,-17.629354838709677,-22.316774193548387,12.764838709677418,6.251290322580645,2007,8,3
2007-09-01,88676.0,35755.0,2.2360233333333337,10.251333333333333,136.66333333333333,95.70333333333333,-21.33833333333333,71.048,-19.047666666666665,-23.975,11.469666666666665,5.302666666666667,2007,9,3
2007-10-01,85981.0,31896.0,4.925516129032258,11.221290322580646,137.50645161290322,95.58225806451614,-16.168387096774193,66.05870967741936,-13.08258064516129,-19.62741935483871,12.663870967741936,5.824516129032258,2007,10,4
2007-11-01,76809.0,25224.0,7.4112,12.659666666666668,129.64,95.50099999999999,-7.958,66.56233333333334,-5.148666666666667,-11.350666666666665,14.045666666666667,7.506,2007,11,4
2007-12-01,112781.0,37601.0,8.857625806451614,12.650967741935483,128.93225806451613,95.09258064516129,-5.033225806451613,71.43741935483871,-3.0219354838709678,-7.674838709677419,14.849032258064517,6.088709677419355,2007,12,4
2008-01-01,82907.0,27326.0,8.505812903225808,7.231612903225806,133.28709677419354,95.70709677419354,-5.9719354838709675,68.03999999999999,-2.9522580645161294,-9.77,8.771935483870967,2.5987096774193548,2008,1,1
2008-02-01,63367.0,21574.0,5.555775862068966,11.238275862068967,133.75862068965517,95.23379310344828,-8.740689655172414,66.86344827586207,-6.119999999999999,-11.952068965517242,12.69206896551724,5.913103448275861,2008,2,1
2008-03-01,73804.0,26214.0,3.0227064516129034,9.829032258064515,137.06451612903226,95.90903225806451,-14.587419354838708,68.55612903225806,-12.086129032258064,-17.71741935483871,11.216451612903224,5.122258064516129,2008,3,1
2008-04-01,90628.0,32745.0,1.04539,10.652,140.14666666666665,96.15233333333335,-17.588666666666665,67.887,-15.739,-19.686,11.662333333333333,4.98,2008,4,2
2008-05-01,68962.0,25445.0,0.10783225806451613,11.26290322580645,141.92580645161289,96.03,-18.746129032258064,70.38677419354838,-16.651935483870968,-21.07903225806452,11.59483870967742,6.120645161290323,2008,5,2
2008-06-01,76519.0,32107.0,0.00032333333333333335,10.471666666666666,139.61333333333332,95.69433333333333,-24.646333333333335,73.56533333333333,-22.699,-26.5,10.484666666666667,5.456666666666666,2008,6,2
2008-07-01,106860.0,39812.0,0.032874193548387096,13.40709677419355,132.17741935483872,95.57935483870968,-18.970322580645163,70.94612903225806,-17.346774193548388,-20.703548387096774,14.856451612903227,6.787419354838709,2008,7,3
2008-08-01,96750.0,38285.0,0.5811677419354839,9.464516129032257,145.41935483870967,95.33225806451614,-24.217741935483872,74.02935483870968,-22.429032258064513,-26.34967741935484,10.308387096774194,4.47516129032258,2008,8,3
2008-09-01,94375.0,36741.0,2.28055,10.999666666666666,143.73666666666668,95.50766666666667,-21.653666666666666,69.365,-19.247333333333334,-24.384666666666664,12.408999999999999,5.473666666666667,2008,9,3
2008-10-01,86962.0,31446.0,5.091422580645162,8.689677419354839,133.88387096774193,94.86064516129032,-19.692258064516132,69.56709677419354,-16.45806451612903,-23.122258064516128,9.961290322580645,3.8429032258064515,2008,10,4
2008-11-01,70942.0,25243.0,7.62023,10.277,132.85999999999999,95.07333333333332,-9.759333333333332,69.046,-6.685666666666666,-13.452333333333334,11.916333333333334,4.852,2008,11,4
2008-12-01,100425.0,33015.0,8.324812903225807,10.400967741935483,127.58064516129032,95.31903225806451,-4.099677419354839,74.74,-2.071290322580645,-6.5606451612903225,12.042903225806452,4.752258064516129,2008,12,4
2009-01-01,91949.0,29292.0,6.814332258064517,9.070322580645161,129.7225806451613,95.79096774193549,-4.476129032258064,71.11967741935484,-2.4116129032258065,-6.9880645161290325,11.02258064516129,4.041935483870968,2009,1,1
2009-02-01,75518.0,22152.0,4.077589285714286,11.858214285714286,134.98214285714286,95.59821428571429,-5.982142857142857,76.43892857142858,-4.509642857142857,-7.963214285714286,14.174999999999999,6.235714285714286,2009,2,1
2009-03-01,59851.0,20817.0,2.166461290322581,11.56225806451613,134.68064516129033,95.63806451612902,-12.028709677419354,72.29677419354839,-10.444516129032257,-13.718709677419353,12.717419354838709,6.610645161290323,2009,3,1
2009-04-01,82341.0,28998.0,1.0114366666666668,11.036,139.74333333333334,96.03266666666667,-19.430333333333333,73.82866666666668,-17.594,-21.446,11.485333333333333,6.264333333333334,2009,4,2
2009-05-01,99844.0,33356.0,0.12331612903225807,12.070322580645161,139.27096774193546,96.20709677419354,-18.883870967741935,69.38193548387098,-16.70225806451613,-21.129677419354838,13.163870967741936,6.218064516129032,2009,5,2
2009-06-01,102800.0,34514.0,0.00037,11.371333333333332,135.22666666666666,96.475,-17.851999999999997,67.93133333333334,-15.434666666666667,-20.205666666666666,11.942,5.8566666666666665,2009,6,2
2009-07-01,102548.0,32417.0,0.03524838709677419,12.040000000000001,138.83225806451614,95.78483870967742,-18.12516129032258,68.35387096774193,-15.839354838709676,-20.605483870967742,12.80483870967742,6.303225806451613,2009,7,3
2009-08-01,113652.0,37963.0,0.5864225806451613,9.884516129032258,134.44516129032257,96.0974193548387,-22.831612903225807,72.90935483870967,-20.84,-25.039354838709677,10.834838709677419,4.92483870967742,2009,8,3
2009-09-01,92585.0,30912.0,2.34609,11.860999999999999,135.24666666666667,95.74133333333333,-19.334999999999997,70.78033333333333,-17.416666666666668,-21.723333333333336,12.561666666666667,6.6933333333333325,2009,9,3
2009-10-01,91088.0,29516.0,5.155048387096774,11.037096774193548,137.54516129032257,95.48032258064515,-16.87548387096774,64.78903225806452,-13.851612903225806,-20.188064516129035,12.411290322580646,5.452903225806451,2009,10,4
2009-11-01,74096.0,24547.0,7.795046666666666,9.957666666666666,128.75333333333333,95.92766666666667,-9.667666666666666,69.89933333333333,-6.602,-13.084333333333335,10.985999999999999,5.0840000000000005,2009,11,4
2009-12-01,15005.0,56042.0,8.748070967741935,10.235806451612904,132.26774193548388,95.70967741935483,-5.2941935483870965,68.05451612903227,-2.734516129032258,-8.345483870967742,11.977741935483872,4.629032258064516,2009,12,4
2010-01-01,62785.0,28132.0,7.028025806451613,9.831290322580644,128.6516129032258,96.44806451612902,-3.161612903225806,71.19129032258064,-1.005483870967742,-5.586451612903226,10.680967741935484,4.74,2010,1,1
2010-02-01,40010.0,21105.0,4.951978571428571,9.654642857142857,137.31428571428572,96.36142857142856,-6.520357142857143,67.4475,-4.506785714285714,-8.562142857142858,11.895357142857142,5.015357142857143,2010,2,1
2010-03-01,55219.0,20834.0,2.335909677419355,11.312903225806451,138.10000000000002,95.82806451612903,-12.104193548387098,75.36,-10.262258064516129,-14.040967741935484,12.846451612903227,6.86483870967742,2010,3,1
2010-04-01,81130.0,27516.0,0.99572,9.814333333333334,135.58666666666667,95.93599999999999,-19.858999999999998,77.711,-17.800666666666665,-21.926333333333332,10.674666666666667,5.190333333333333,2010,4,2
2010-05-01,72648.0,26591.0,0.13111935483870968,11.725483870967743,135.2258064516129,95.63645161290323,-21.291612903225804,72.61451612903227,-19.200645161290325,-23.348709677419354,12.991935483870968,5.798387096774194,2010,5,2
2010-06-01,86337.0,30479.0,0.00038333333333333334,12.231666666666666,139.12,94.95366666666668,-22.324,72.99533333333333,-20.353666666666665,-24.38266666666667,12.817666666666668,7.015333333333333,2010,6,2
2010-07-01,96318.0,36020.0,0.03602258064516129,12.088064516129032,142.38064516129032,94.68806451612903,-25.59161290322581,77.03548387096774,-23.458064516129035,-27.71,13.88258064516129,5.983870967741935,2010,7,3
2010-08-01,100563.0,35144.0,0.49433548387096776,11.636451612903226,137.7258064516129,94.85935483870968,-24.478709677419356,76.52483870967743,-22.50258064516129,-26.656129032258065,13.41,5.698709677419354,2010,8,3
2010-09-01,95057.0,32352.0,2.1775333333333333,12.565333333333333,135.66666666666666,95.03333333333333,-17.494666666666667,71.923,-15.381666666666666,-20.387999999999998,14.285,7.143,2010,9,3
2010-10-01,90676.0,30210.0,4.8030193548387095,9.529354838709677,133.66774193548386,95.33451612903225,-17.754193548387097,72.16225806451614,-15.02290322580645,-20.793870967741935,11.564838709677419,4.283870967741936,2010,10,4
2010-11-01,93361.0,31100.0,7.749106666666666,10.138333333333332,130.57,95.54166666666667,-11.288333333333332,66.62433333333334,-8.351333333333333,-14.736666666666668,11.978666666666667,4.9783333333333335,2010,11,4
2010-12-01,69394.0,22550.0,9.119722580645162,10.966129032258063,126.14193548387097,96.04967741935484,-5.478709677419355,71.70903225806451,-3.051290322580645,-8.614193548387098,11.567096774193548,5.994193548387097,2010,12,4
2011-01-01,76358.0,22539.0,8.094916129032258,11.025161290322579,127.97419354838709,96.26032258064517,-4.0687096774193545,71.24,-1.6048387096774193,-7.296129032258064,12.476129032258065,5.399677419354839,2011,1,1
2011-02-01,76580.0,22294.0,6.209153571428572,8.561071428571429,141.72142857142856,95.99107142857143,-10.582142857142857,66.64464285714286,-7.2942857142857145,-14.215,10.101785714285715,3.172857142857143,2011,2,1
2011-03-01,80659.0,24345.0,3.1258935483870967,12.769354838709678,138.3741935483871,95.7741935483871,-13.825806451612904,67.4058064516129,-11.46967741935484,-16.761612903225807,13.541612903225808,7.093548387096774,2011,3,1
2011-04-01,103351.0,36200.0,1.0628933333333335,11.021333333333333,140.89,96.261,-18.692333333333334,67.101,-16.966333333333335,-20.855999999999998,12.139000000000001,5.833,2011,4,2
2011-05-01,118705.0,39400.0,0.12719032258064517,11.884516129032258,137.3483870967742,95.61967741935484,-20.811612903225804,68.52483870967743,-18.8341935483871,-22.778709677419354,12.844193548387098,6.452903225806451,2011,5,2
2011-06-01,103423.0,32236.0,0.00031666666666666665,11.359,136.97666666666666,96.55966666666667,-20.482000000000003,67.15,-18.418333333333333,-22.689666666666664,12.133999999999999,6.199666666666667,2011,6,2
2011-07-01,116278.0,38027.0,0.03177096774193548,12.938064516129032,132.19032258064516,96.11032258064516,-18.090967741935483,70.74516129032257,-16.053548387096775,-20.188709677419357,13.953870967741935,7.305806451612903,2011,7,3
2011-08-01,94604.0,27433.0,0.5710096774193548,10.464193548387096,140.40322580645162,96.02161290322582,-21.44677419354839,68.61999999999999,-19.198709677419355,-23.585806451612903,10.956129032258064,5.339032258064516,2011,8,3
2011-09-01,105516.0,34588.0,2.26876,12.327333333333334,138.65666666666667,95.8,-21.012,65.845,-18.447,-24.037666666666667,13.444333333333333,7.132333333333333,2011,9,3
2011-10-01,126780.0,40321.0,4.996616129032258,9.343548387096773,141.17419354838708,95.51741935483871,-19.67967741935484,64.45387096774193,-16.35258064516129,-23.05548387096774,11.163225806451614,3.7416129032258065,2011,10,4
2011-11-01,92203.0,27234.0,7.558269999999999,13.898333333333333,124.67666666666668,96.18366666666667,-9.35,67.86233333333332,-6.696666666666667,-12.465666666666667,14.901,8.412,2011,11,4
2011-12-01,107910.0,32178.0,9.40568064516129,7.941935483870967,140.15483870967742,95.33483870967743,-6.06741935483871,68.14129032258064,-3.227096774193549,-9.328387096774193,10.078709677419354,2.74741935483871,2011,12,4
2012-01-01,83209.0,24564.0,7.070658064516129,10.916774193548388,128.6032258064516,95.0083870967742,-5.208064516129032,71.19903225806452,-3.0883870967741935,-7.607419354838709,13.158709677419356,5.23483870967742,2012,1,1
2012-02-01,68022.0,20500.0,4.795875862068965,12.059655172413795,133.6,95.86206896551724,-7.571034482758621,68.04241379310345,-5.573448275862069,-9.805517241379311,14.013793103448275,7.105172413793104,2012,2,1
2012-03-01,84057.0,26511.0,2.7165870967741936,9.970967741935485,140.29677419354837,95.76354838709678,-15.369677419354838,75.39516129032258,-13.19774193548387,-17.44193548387097,10.734193548387097,5.52741935483871,2012,3,1
2012-04-01,110077.0,36085.0,0.9140633333333333,11.508000000000001,139.06333333333333,95.539,-18.403666666666666,73.02666666666667,-16.290333333333333,-20.631666666666668,12.752333333333333,5.9286666666666665,2012,4,2
2012-05-01,121215.0,41728.0,0.12683225806451612,9.968387096774192,145.03548387096777,96.0458064516129,-22.450000000000003,73.53387096774195,-20.33483870967742,-24.651612903225807,10.577096774193548,5.007419354838709,2012,5,2
2012-06-01,105476.0,46463.0,0.0003533333333333333,13.891,134.47666666666666,95.788,-21.30666666666667,74.563,-19.326666666666664,-23.537333333333333,14.698,8.282666666666666,2012,6,2
2012-07-01,122837.0,44269.0,0.03773548387096774,11.313548387096775,139.51290322580644,95.22322580645161,-24.754516129032258,75.86387096774195,-22.52774193548387,-26.700322580645164,13.653870967741934,5.3190322580645155,2012,7,3
2012-08-01,109183.0,37428.0,0.5550645161290323,10.938387096774193,141.75483870967741,95.67483870967742,-23.511935483870968,71.03322580645163,-21.473870967741938,-25.394193548387097,11.450645161290321,5.651290322580645,2012,8,3
2012-09-01,112144.0,38394.0,2.25465,12.033999999999999,145.00666666666666,95.24433333333333,-23.146333333333335,71.312,-20.868,-25.57133333333333,13.312333333333333,6.697,2012,9,3
2012-10-01,115189.0,37149.0,4.859264516129032,12.011612903225807,136.87419354838707,95.23258064516129,-15.926774193548388,68.1774193548387,-12.98483870967742,-19.272903225806452,13.493225806451614,6.11483870967742,2012,10,4
2012-11-01,76173.0,23350.0,7.742663333333334,12.547666666666666,128.68,96.02666666666667,-8.852333333333332,67.70400000000001,-6.09,-12.052333333333333,13.870666666666667,6.832,2012,11,4
2012-12-01,86123.0,23983.0,8.804825806451612,9.629032258064516,124.74193548387096,96.16516129032257,-4.47,72.7258064516129,-2.1583870967741934,-7.311612903225806,11.000322580645161,4.4480645161290315,2012,12,4
